district_code,province_vi,province_en,district_equiv_vi,district_vi,district_en,total,total_male,total_female,total_urban,total_urban_male,total_urban_female,total_rural,total_rural_male,total_rural_female
883,An Giang,An Giang,Thành phố,Long Xuyên,Long Xuyen,272365,133320,139045,239588,117027,122561,32777,16293,16484
884,An Giang,An Giang,Thành phố,Châu Đốc,Chau Doc,101765,49564,52201,90495,43877,46618,11270,5687,5583
886,An Giang,An Giang,Huyện,An Phú,An Phu,148615,74001,74614,19263,9612,9651,129352,64389,64963
887,An Giang,An Giang,Thị xã,Tân Châu,Tan Chau,141211,69176,72035,54214,26389,27825,86997,42787,44210
888,An Giang,An Giang,Huyện,Phú Tân,Phu Tan,188951,94069,94882,33741,16491,17250,155210,77578,77632
889,An Giang,An Giang,Huyện,Châu Phú,Chau Phu,206676,102793,103883,16958,8269,8689,189718,94524,95194
890,An Giang,An Giang,Huyện,Tịnh Biên,Tinh Bien,108562,53560,55002,32301,15833,16468,76261,37727,38534
891,An Giang,An Giang,Huyện,Tri Tôn,Tri Ton,117431,58589,58842,27485,13473,14012,89946,45116,44830
892,An Giang,An Giang,Huyện,Châu Thành,Chau Thanh,151368,76309,75059,22998,11475,11523,128370,64834,63536
893,An Giang,An Giang,Huyện,Chợ Mới,Cho Moi,307981,153741,154240,24858,12139,12719,283123,141602,141521
894,An Giang,An Giang,Huyện,Thoại Sơn,Thoai Son,163427,82448,80979,40969,20295,20674,122458,62153,60305
747,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Thành phố,Vũng Tàu,Vung Tau,357124,177224,179900,341552,169130,172422,15572,8094,7478
748,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Thành phố,Bà Rịa,Ba Ria,108701,53479,55222,72111,35191,36920,36590,18288,18302
750,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Huyện,Châu Đức,Chau Duc,143859,72210,71649,16472,8282,8190,127387,63928,63459
751,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Huyện,Xuyên Mộc,Xuyen Moc,140723,71022,69701,16315,8171,8144,124408,62851,61557
752,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Huyện,Long Điền,Long Dien,135763,67897,67866,59210,29355,29855,76553,38542,38011
753,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Huyện,Đất Đỏ,Dat Do,73530,36825,36705,42641,21159,21482,30889,15666,15223
754,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Thị xã,Phú Mỹ,Phu My,179786,92993,86793,122349,63371,58978,57437,29622,27815
755,Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau,Huyện,Côn Đảo,Con Dao,8827,4578,4249,0,0,0,8827,4578,4249
213,Bắc Giang,Bac Giang,Thành phố,Bắc Giang,Bac Giang,174229,86019,88210,109367,53652,55715,64862,32367,32495
215,Bắc Giang,Bac Giang,Huyện,Yên Thế,Yen The,101135,50234,50901,7816,3757,4059,93319,46477,46842
216,Bắc Giang,Bac Giang,Huyện,Tân Yên,Tan Yen,177265,88309,88956,9141,4547,4594,168124,83762,84362
217,Bắc Giang,Bac Giang,Huyện,Lạng Giang,Lang Giang,216996,107989,109007,9746,4741,5005,207250,103248,104002
218,Bắc Giang,Bac Giang,Huyện,Lục Nam,Luc Nam,226194,115099,111095,12975,6567,6408,213219,108532,104687
219,Bắc Giang,Bac Giang,Huyện,Lục Ngạn,Luc Ngan,226540,117287,109253,8113,4001,4112,218427,113286,105141
220,Bắc Giang,Bac Giang,Huyện,Sơn Động,Son Dong,76106,39419,36687,9504,4847,4657,66602,34572,32030
221,Bắc Giang,Bac Giang,Huyện,Yên Dũng,Yen Dung,152125,75561,76564,14673,7188,7485,137452,68373,69079
222,Bắc Giang,Bac Giang,Huyện,Việt Yên,Viet Yen,205900,101599,104301,18357,9147,9210,187543,92452,95091
223,Bắc Giang,Bac Giang,Huyện,Hiệp Hòa,Hiep Hoa,247460,123636,123824,5931,2924,3007,241529,120712,120817
058,Bắc Kạn,Bac Kan,Thành phố,Bắc Kạn,Bac Kan,45036,22406,22630,38510,19135,19375,6526,3271,3255
060,Bắc Kạn,Bac Kan,Huyện,Pắc Nặm,Pac Nam,33439,17009,16430,0,0,0,33439,17009,16430
061,Bắc Kạn,Bac Kan,Huyện,Ba Bể,Ba Be,48325,24774,23551,4499,2181,2318,43826,22593,21233
062,Bắc Kạn,Bac Kan,Huyện,Ngân Sơn,Ngan Son,29269,14946,14323,6459,3257,3202,22810,11689,11121
063,Bắc Kạn,Bac Kan,Huyện,Bạch Thông,Bach Thong,31061,15878,15183,1906,995,911,29155,14883,14272
064,Bắc Kạn,Bac Kan,Huyện,Chợ Đồn,Cho Don,49554,25441,24113,7180,3525,3655,42374,21916,20458
065,Bắc Kạn,Bac Kan,Huyện,Chợ Mới,Cho Moi,38958,19928,19030,2566,1295,1271,36392,18633,17759
066,Bắc Kạn,Bac Kan,Huyện,Na Rì,Na Ri,38263,19654,18609,4012,1912,2100,34251,17742,16509
954,Bạc Liêu,Bac Lieu,Thành phố,Bạc Liêu,Bac Lieu,156110,76837,79273,115508,56147,59361,40602,20690,19912
956,Bạc Liêu,Bac Lieu,Huyện,Hồng Dân,Hong Dan,111848,56519,55329,11394,5596,5798,100454,50923,49531
957,Bạc Liêu,Bac Lieu,Huyện,Phước Long,Phuoc Long,124268,62852,61416,21273,10693,10580,102995,52159,50836
958,Bạc Liêu,Bac Lieu,Huyện,Vĩnh Lợi,Vinh Loi,101025,50729,50296,14838,7363,7475,86187,43366,42821
959,Bạc Liêu,Bac Lieu,Thị xã,Giá Rai,Gia Rai,143613,71492,72121,52287,25723,26564,91326,45769,45557
960,Bạc Liêu,Bac Lieu,Huyện,Đông Hải,Dong Hai,152619,76574,76045,13957,7110,6847,138662,69464,69198
961,Bạc Liêu,Bac Lieu,Huyện,Hoà Bình,Hoa Binh,117753,58969,58784,22381,11072,11309,95372,47897,47475
256,Bắc Ninh,Bac Ninh,Thành phố,Bắc Ninh,Bac Ninh,247702,120780,126922,200285,98738,101547,47417,22042,25375
258,Bắc Ninh,Bac Ninh,Huyện,Yên Phong,Yen Phong,192674,90752,101922,18738,9488,9250,173936,81264,92672
259,Bắc Ninh,Bac Ninh,Huyện,Quế Võ,Que Vo,195666,95690,99976,9504,4790,4714,186162,90900,95262
260,Bắc Ninh,Bac Ninh,Huyện,Tiên Du,Tien Du,176460,89572,86888,13055,6628,6427,163405,82944,80461
261,Bắc Ninh,Bac Ninh,Thị xã,Từ Sơn,Tu Son,176410,90284,86126,101755,51823,49932,74655,38461,36194
262,Bắc Ninh,Bac Ninh,Huyện,Thuận Thành,Thuan Thanh,171942,85927,86015,14365,7180,7185,157577,78747,78830
263,Bắc Ninh,Bac Ninh,Huyện,Gia Bình,Gia Binh,103517,51278,52239,8203,4115,4088,95314,47163,48151
264,Bắc Ninh,Bac Ninh,Huyện,Lương Tài,Luong Tai,104469,51777,52692,10795,5399,5396,93674,46378,47296
829,Bến Tre,Ben Tre,Thành phố,Bến Tre,Ben Tre,124499,59333,65166,63373,29735,33638,61126,29598,31528
